2020-10-21T13:00:18.618538+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285217736.00,mp1,exxodefdf,time to complete task,how many returns,which,TIME,,,RETURNS,,
2020-10-21T13:00:18.875434+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285218738.00,mp2,exxodefdf,,,,A,B,,VERSION,RETURN,NO RETURN
2020-10-21T13:00:19.849078+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285219708.00,mp3,exxodefdf,,,,17953,92242,,A,6,8
2020-10-21T13:00:28.182915+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285220719.00,mp4,exxodefdf,,,,7894,3637,,B,5,7
2020-10-21T13:00:28.446558+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285228302.00,mp2,exxodefdf,,,,11261,12649,,,,
2020-10-21T13:00:28.707666+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285228565.00,mp3,exxodefdf,,,,97614,6090,,,,
2020-10-21T13:00:28.966900+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285228831.00,mp2,exxodefdf,,,,7765,7427,,,,
2020-10-21T13:00:29.235360+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285229092.00,mp3,exxodefdf,,,,288296,11913,,,,
2020-10-21T13:00:30.117063+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285229354.00,mp2,exxodefdf,,,,26780,5631,,,,
2020-10-21T13:00:31.475640+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285230241.00,mp3,exxodefdf,,,,155241,4373,,,,
2020-10-21T13:00:33.903350+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285233756.00,mp4,exxodefdf,,,,28906,74053,,,,
2020-10-21T13:00:36.587510+00:00,app[web.1]:,AB_TESTING:,C,1603285235491.00,0.00,0,exxodefdf,92242.00,0,B,5866,11668,,,,
2020-10-21T13:07:58.094100+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,0.00,0,ngzdhey,,,,5869,42939,,,,
2020-10-21T13:07:59.839455+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,1603285679822.00,mp4,ngzdhey,,,,3129,4199,,,,
2020-10-21T13:07:59.995901+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,1603285679977.00,mp4,ngzdhey,,,,3379,,,,,
2020-10-21T13:08:00.151215+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,1603285680136.00,mp4,ngzdhey,,,,15730,,,,,
2020-10-21T13:08:00.326469+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,1603285680311.00,mp4,ngzdhey,,,,,,,,,
2020-10-21T13:08:00.628259+00:00,app[web.1]:,AB_TESTING:,B,1603285678057.00,1603285680613.00,mp4,ngzdhey,,,,,,,,,
2020-10-21T13:08:01.712920+00:00,app[web.1]:,AB_TESTING:,C,1603285681694.00,0.00,0,ngzdhey,3637.00,0,B,,,,,,
2020-10-21T13:08:37.766724+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,0.00,0,ljowrsfu,,,,,,,,,
2020-10-21T13:08:40.104462+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285719830.00,mp1,ljowrsfu,,,,,,,,,
2020-10-21T13:08:40.787137+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285720499.00,mp2,ljowrsfu,,,,,,,,,
2020-10-21T13:08:41.030510+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285720752.00,mp2,ljowrsfu,,,,,,,,,
2020-10-21T13:08:42.190017+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285721887.00,mp3,ljowrsfu,,,,,,,,,
2020-10-21T13:08:42.460490+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285722188.00,mp3,ljowrsfu,,,,,,,,,
2020-10-21T13:08:43.351497+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285723068.00,mp4,ljowrsfu,,,,,,,,,
2020-10-21T13:08:43.554802+00:00,app[web.1]:,AB_TESTING:,B,1603285717482.00,1603285723280.00,mp4,ljowrsfu,,,,,,,,,
2020-10-21T13:08:46.306648+00:00,app[web.1]:,AB_TESTING:,C,1603285725998.00,0.00,0,ljowrsfu,,,,,,,,,
2020-10-21T13:08:50.459207+00:00,app[web.1]:,AB_TESTING:,B,1603285730131.00,0.00,0,ljowrsfu,12649.00,1,B,,,,,,
2020-10-21T13:09:05.232115+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,0.00,0,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:06.616256+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285746509.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:06.820975+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285746715.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:07.027368+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285746919.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:07.231985+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285747124.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:07.437062+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285747329.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:07.648516+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285747535.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:07.852817+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285747746.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:08.063056+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285747954.00,mp1,esypkmcvtd,,,,,,,,,
